acronym,Indicator,partner_name,Outcomes
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",AICCRA WA ALLIANCE (before ICRISAT),1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",BNARI-Biotechnology and Nuclear Agricultural Research Institute,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",CSIR-Council for Scientific and Industrial Research (Ghana),1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",CSIR-CRI-CSIR-Crops Research Institute,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",CSIR-SARI-Council for Scientific and Industrial Research - Savanna Agricultural Research Institute,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Ethiopian Institute of Agricultural Research,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Farmerline Ghana-Farmerline Ltd.,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",GMet-Ghana Meteorological Agency,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",International Water Management Institute,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Jokalante,1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Ministry of Agriculture and Natural Resources (Ethiopia),1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",MoFA-Ministry of Food and Agriculture (Ghana),1
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",UDS-University for Development Studies,1
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​","",1
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",World Meteorological Organization,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,"",1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,African Group of Negotiators Expert Support,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Gender and Social Inclusion Leader (Lead by Alliance),1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,ANACIM-National Agency of Civil Aviation and Meteorology,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Biotechnology and Nuclear Agricultural Research Institute,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,CERAAS-Regional Study Centre for Improving Adaptation to Drought,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Climate Policy Initiative,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,CPI-Climate Policy Initiative,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Eastern Africa Farmers Federation,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Green AgroSolution Ltd.,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Mercy Corps,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Ministry of Communications (Ghana),1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Ministry of Food and Agriculture (Ghana),1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,National Agency of Civil Aviation and Meteorology,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Office du Niger,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Réseau des Organisations Paysannes et Pastorales du Sénégal,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,University for Development Studies,1
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,WorldFish,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Amhara Regional Agricultural Research Institute,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Biotechnology and Nuclear Agricultural Research Institute,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),CGIAR ICRISAT-International Crops Research Institute for the Semi-Arid Tropics,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Ethiopian Institute of Agricultural Research,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),IER-Institut d’Economie Rurale (Mali),1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Institut d’Economie Rurale (Mali),1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Jokalante,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),KALRO-Kenya Agricultural and Livestock Research Organization,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Ministry of Agriculture and Natural Resources (Ethiopia),1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Ministry of Food and Agriculture (Ghana),1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),ON-Office du Niger,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Regional Study Centre for Improving Adaptation to Drought,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Syngenta Foundation for Sustainable Agriculture,1
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),University for Development Studies,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,"",1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,AICCRA Gender and Social Inclusion Leader (Lead by ILRI),1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,AICCRA Regional Partner - CORAF,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Amhara Regional Agricultural Research Institute,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,ANACIM-National Agency of Civil Aviation and Meteorology,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Biotechnology and Nuclear Agricultural Research Institute,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Jokalante,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Ministry of Agriculture and Natural Resources (Ethiopia),1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Ministry of Communications (Ghana),1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Not Provided,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Réseau des Organisations Paysannes et Pastorales du Sénégal,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Syngenta Foundation for Sustainable Agriculture,1
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,URAC-L’Union des Radios Associatives et Communautaires (URAC),1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",African Group of Negotiators Expert Support,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Agence Nationale de la Météorologie du Mali,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",AICCRA Theme 1 ILRI,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",CERAAS-Regional Study Centre for Improving Adaptation to Drought,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Climate Policy Initiative,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",International Institute of Tropical Agriculture,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",International Rice Research Institute,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",International Water Management Institute,1
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",WorldFish,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Africa Rice Center,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),African Union,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Agence Nationale de Conseil Agricole et Rural (Senegal),1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AGNES -African Group of Negotiators Expert Support,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Gender and Social Inclusion Leader (Lead by Alliance),1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Regional Partner - AGRHYMET,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Regional Partner - CCARDESA,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Regional Partner - CORAF,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AU-African Union,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Biotechnology and Nuclear Agricultural Research Institute,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),BNARI-Biotechnology and Nuclear Agricultural Research Institute,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),CSIR-CRI-CSIR-Crops Research Institute,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),CSIR-Crops Research Institute,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),EAFF-Eastern Africa Farmers Federation,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),International Center for Agricultural Research in the Dry Areas,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),International Crops Research Institute for the Semi-Arid Tropics,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),International Food Policy Research Institute,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Kuza Biashara,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Ministry of Communications (Ghana),1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),MoFA-Ministry of Food and Agriculture (Ghana),1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Syngenta Foundation for Sustainable Agriculture,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),UN Women,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),UN Women-UN Women,1
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Zambia Meteorological Department,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,ACRE Africa-Agriculture and Climate Risk Enterprise,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Addis Ababa University,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Agence Nationale de Conseil Agricole et Rural (Senegal),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Biotechnology and Nuclear Agricultural Research Institute,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CERAAS-Regional Study Centre for Improving Adaptation to Drought,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CGIAR Gender Platform,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Climate Policy Initiative,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CPI-Climate Policy Initiative,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CSIR-Council for Scientific and Industrial Research (Ghana),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,CSIR-SARI-Council for Scientific and Industrial Research - Savanna Agricultural Research Institute,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Eastern Africa Farmers Federation,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Farmerline Ghana-Farmerline Ltd.,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,GMet-Ghana Meteorological Agency,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Green AgroSolution Ltd.,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,IER-Institut d’Economie Rurale (Mali),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Institut d’Economie Rurale (Mali),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,L’Union des Radios Associatives et Communautaires (URAC),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Mercy Corps,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Ministry of Agriculture and Natural Resources (Ethiopia),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Ministry of Food and Agriculture (Ghana),1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,ON-Office du Niger,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Regional Study Centre for Improving Adaptation to Drought,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Réseau des Organisations Paysannes et Pastorales du Sénégal,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Shalem Investment Ltd.,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Syngenta Foundation for Sustainable Agriculture,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,UDS-University for Development Studies,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,UN Women,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,University for Development Studies,1
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,ZMD-Zambia Meteorological Department,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Agence Nationale de Conseil Agricole et Rural (Senegal),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Agence Nationale de la Météorologie du Mali,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,AICCRA Theme 4 ALLIANCE,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,ANACIM-National Agency of Civil Aviation and Meteorology,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,ANCAR-Agence Nationale de Conseil Agricole et Rural (Senegal),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,CERAAS-Regional Study Centre for Improving Adaptation to Drought,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Eunimos Investment Limited,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Green AgroSolution Ltd.,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,IER-Institut d’Economie Rurale (Mali),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Institut d’Economie Rurale (Mali),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,L’Union des Radios Associatives et Communautaires (URAC),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Ministry of Agriculture and Natural Resources (Ethiopia),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Ministry of Communications (Ghana),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Ministry of Fisheries and Livestock (Zambia),1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,National Agency of Civil Aviation and Meteorology,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,ON-Office du Niger,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Réseau des Organisations Paysannes et Pastorales du Sénégal,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Syngenta Foundation for Sustainable Agriculture,1
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,University for Development Studies,1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Agence Nationale de Conseil Agricole et Rural (Senegal),1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,AICCRA Theme 4 ALLIANCE,1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,CERAAS-Regional Study Centre for Improving Adaptation to Drought,1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Eunimos Investment Limited,1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Green AgroSolution Ltd.,1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Institut d’Economie Rurale (Mali),1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,L’Union des Radios Associatives et Communautaires (URAC),1
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Ministry of Agriculture and Natural Resources (Ethiopia),1
